Time, Sensor 3, Sensor 2, Sensor 1, Sensor 0, 
1725,116.56,300,300, ,
1728,116.56,300,300, ,
1731,116.56,300,300, ,
1733,116.56,300,300, ,
1736,116.56,300,300, ,
1739,116.56,300,300, ,
1741,116.56,300,300,57.54,
1744, ,300,300,57.54,
1747, ,300,300,57.54,
1750, ,300,300,57.54,
1753, ,300,300,57.54,
1755, ,300,300,57.54,
1758, ,300,300,57.54,
1761, ,300,300,57.54,
1763, ,300,300,57.54,
1766, ,300,300,57.54,
1768, ,300,300,57.54,
1771, ,300,300,57.54,
1773, ,300,300,57.54,
1776, ,300,300,57.54,
1779,116.56, ,300,57.54,
1781,116.56, ,300,57.54,
1784,116.56, ,300,57.54,
1786,116.56, ,300,57.54,
1789,116.56, ,300,57.54,
1793,116.56, ,300,57.54,
1795,116.56, ,300,57.54,
1798,116.56, ,300,57.54,
1800,116.56, ,300,57.54,
1803,116.56, ,300,57.54,
1805,116.56, ,300,57.54,
1808,116.56, ,300,57.54,
1811,116.56, ,300,57.54,
1813,116.56,300, ,57.54,
1816,116.56,300, ,57.54,
1818,116.56,300, ,57.54,
1821,116.56,300, ,57.54,
1823,116.56,300, ,57.54,
1826,116.56,300, ,57.54,
1829,116.56,300, ,57.54,
1831,116.56,300, ,57.54,
1835,116.56,300, ,57.54,
1837,116.56,300, ,57.54,
1840,116.56,300, ,57.54,
1842,116.56,300, ,57.54,
1845,116.56,300, ,57.54,
1848,116.56,300,300, ,
1850,116.56,300,300, ,
1853,116.56,300,300, ,
1856,116.56,300,300, ,
1858,116.56,300,300, ,
1861,116.56,300,300, ,
1864,116.56,300,300, ,
1866,116.56,300,300, ,
1869,116.56,300,300, ,
1872,116.56,300,300, ,
1874,116.56,300,300, ,
1878,116.56,300,300, ,
1880,116.56,300,300, ,
1883,116.56,300,300,57.54,
1886, ,300,300,57.54,
1889, ,300,300,57.54,
1891, ,300,300,57.54,
1894, ,300,300,57.54,
1896, ,300,300,57.54,
1899, ,300,300,57.54,
1902, ,300,300,57.54,
1904, ,300,300,57.54,
1907, ,300,300,57.54,
1909, ,300,300,57.54,
1912, ,300,300,57.54,
1914, ,300,300,57.54,
1917, ,300,300,57.54,
1921,116.56, ,300,57.54,
1923,116.56, ,300,57.54,
1926,116.56, ,300,57.54,
1928,116.56, ,300,57.54,
1931,116.56, ,300,57.54,
1934,116.56, ,300,57.54,
1936,116.56, ,300,57.54,
1939,116.56, ,300,57.54,
1941,116.56, ,300,57.54,
1944,116.56, ,300,57.54,
1946,116.56, ,300,57.54,
1949,116.56, ,300,57.54,
1952,116.56, ,300,57.54,
1954,116.56,300, ,57.54,
1957,116.56,300, ,57.54,
1959,116.56,300, ,57.54,
1963,116.56,300, ,57.54,
1965,116.56,300, ,57.54,
1968,116.56,300, ,57.54,
1971,116.56,300, ,57.54,
1973,116.56,300, ,57.54,
1976,116.56,300, ,57.54,
1978,116.56,300, ,57.54,
1981,116.56,300, ,57.54,
1983,116.56,300, ,57.54,
1986,116.56,300, ,57.54,
1989,116.56,300,300, ,
1991,116.56,300,300, ,
1994,116.56,300,300, ,
1997,116.56,300,300, ,
1999,116.56,300,300, ,
2002,116.56,300,300, ,
2006,116.56,300,300, ,
2008,116.56,300,300, ,
2011,116.56,300,300, ,
2013,116.56,300,300, ,
2016,116.56,300,300, ,
2019,116.56,300,300, ,
2021,116.56,300,300, ,
2024,116.56,300,300,57.54,
2027, ,300,300,57.54,
2030, ,300,300,57.54,
2032, ,300,300,57.54,
2035, ,300,300,57.54,
2037, ,300,300,57.54,
2040, ,300,300,57.54,
2043, ,300,300,57.54,
2045, ,300,300,57.54,
2049, ,300,300,57.54,
2051, ,300,300,57.54,
2054, ,300,300,57.54,
2056, ,300,300,57.54,
2059, ,300,300,57.54,
2062,116.56, ,300,57.54,
2064,116.56, ,300,57.54,
2067,116.56, ,300,57.54,
2069,116.56, ,300,57.54,
2072,116.56, ,300,57.54,
2075,116.56, ,300,57.54,
2077,116.56, ,300,57.54,
2080,116.56, ,300,57.54,
2082,116.56, ,300,57.54,
2085,116.56, ,300,57.54,
2087,116.56, ,300,57.54,
2091,116.56, ,300,57.54,
2094,116.56, ,300,57.54,
2096,116.56,300, ,57.54,
2099,116.56,300, ,57.54,
2101,116.56,300, ,57.54,
2104,116.56,300, ,57.54,
2106,116.56,300, ,57.54,
2109,116.56,300, ,57.54,
2112,116.56,300, ,57.54,
2114,116.56,300, ,57.54,
2117,116.56,300, ,57.54,
2119,116.56,300, ,57.54,
2122,116.56,300, ,57.54,
2124,116.56,300, ,57.54,
2127,116.56,300, ,57.54,
2130,116.56,300,300, ,
2132,116.56,300,300, ,
2136,116.56,300,300, ,
2138,116.56,300,300, ,
2141,116.56,300,300, ,
2144,116.56,300,300, ,
2146,116.56,300,300, ,
2149,116.56,300,300, ,
2152,116.56,300,300, ,
2154,116.56,300,300, ,
2157,116.56,300,300, ,
2160,116.56,300,300, ,
2162,116.56,300,300, ,
2165,116.56,300,300,57.54,
2168, ,300,300,57.54,
2171, ,300,300,57.54,
2173, ,300,300,57.54,
2177, ,300,300,57.54,
2179, ,300,300,57.54,
2182, ,300,300,57.54,
2184, ,300,300,57.54,
2187, ,300,300,57.54,
2190, , 300.000.00,57.54,,
2203,116.56, , 300.300.00,57.54,
2195, ,300,300,57.54,
2197, ,300,300,57.54,
2200, ,300,300,57.54,
2203,116.56, ,300,57.54,
2205,116.56, ,300,57.54,
2208,116.56, ,300,57.54,
2210,116.56, ,300,57.54,
2213,116.56, ,300,57.54,
2215,116.56, ,300,57.54,
2219,116.56, ,300,57.54,
2222,116.56, ,300,57.54,
2224,116.56, ,300,57.54,
2227,116.56, ,300,57.54,
2229,116.56, ,300,57.54,
2232,116.56, ,300,57.54,
2234,116.56, ,300,57.54,
2237,116.56,300, ,57.54,
2240,116.56,300, ,57.54,
2242,116.56,300, ,57.54,
2245,116.56,300, ,57.54,
2247,116.56,300, ,57.54,
2250,116.56,300, ,57.54,
2252,116.56,300, ,57.54,
2255,116.56,300, ,57.54,
2258,116.56,300, ,57.54,
2260,116.56,300, ,57.54,
2264,116.56,300, ,57.54,
2266,116.56,300, ,57.54,
2269,116.56,300, ,57.54,
2272,116.56,300,300, ,
2274,116.56,300,300, ,
2277,116.56,300,300, ,
2279,116.56,300,300, ,
2282,116.56,300,300, ,
2285,116.56,300,300, ,
2287,116.56,300,300, ,
2290,116.56,300,300, ,
2293,116.56,300,300, ,
2295,116.56,300,300, ,
2298,116.56,300,300, ,
2301,116.56,300,300, ,
2304,116.56,300,300, ,
2307,116.56,300,300,57.54,
2310, ,300,300,57.54,
2313, ,300,300,57.54,
2315, ,300,300,57.54,
2318, ,300,300,57.54,
2320, ,300,300,57.54,
2323, ,300,300,57.54,
2325, ,300,300,57.54,
2328, ,300,300,57.54,
2331, ,300,300,57.54,
2333, ,300,300,57.54,
2336, ,300,300,57.54,
2338, ,300,300,57.54,
2341, ,300,300,57.54,
2344,116.56, ,300,57.54,
2347,116.56, ,300,57.54,
2350,116.56, ,300,57.54,
2352,116.56, ,300,57.54,
2355,116.56, ,300,57.54,
2357,116.56, ,300,57.54,
2360,116.56, ,300,57.54,
2363,116.56, ,300,57.54,
2365,116.56, ,300,57.54,
2368,116.56, ,300,57.54,
2370,116.56, ,300,57.54,
2373,116.56, ,300,57.54,
2375,116.56, ,300,57.54,
2378,116.56,300, ,57.54,
2381,116.56,300, ,57.54,
2383,116.56,300, ,57.54,
2386,116.56,300, ,57.54,
2388,116.56,300, ,57.54,
2392,116.56,300, ,57.54,
2394,116.56,300, ,57.54,
2397,116.56,300, ,57.54,
2400,116.56,300, ,57.54,
2402,116.56,300, ,57.54,
2405,116.56,300, ,57.54,
2407,116.56,300, ,57.54,
2410,116.56,300, ,57.54,
2412,116.56,300,300, ,
2415,116.56,300,300, ,
2418,116.56,300,300, ,
2420,116.56,300,300, ,
